isbn,titulo,autores,editorial,fecha_publicacion,categorias,descripcion,portada,fuente,ubicacion,estanteria,balda,estado,notas,fecha_alta
9788498387087,Harry Potter  y La Piedra filosofal. documento Ilustrado,J. K. Rowling,SALAMANDRA-ESP.,"Nov 02, 2013",Sin categoría,Sin descripción,https://covers.openlibrary.org/b/isbn/9788498387087-L.jpg,Open Library,casa Burriana ,Biblioteca ,3,Pendiente,,2026-05-05 23:01:36
9788411406710,One Piece nº 01,"尾田栄一郎, Ayako Koike",Planeta Cómic,"Apr 26, 2023",Sin categoría,Sin descripción,https://covers.openlibrary.org/b/isbn/9788411406710-L.jpg,Open Library,,,,Prestado,,2026-05-05 23:23:16
9788408253105,El Alquimista,"Paulo Coelho, Montserrat Mira",Booket,"Feb 16, 2022",Sin categoría,Sin descripción,https://covers.openlibrary.org/b/isbn/9788408253105-L.jpg,Open Library,chalet,unica,unica,Leído,,2026-05-06 00:18:29
9788498381498,El Principito,Autor desconocido,Salamandra,2010,Sin categoría,"«Viví así, solo, sin nadie con quien hablar verdaderamente, hasta que tuve una avería en el desierto del Sahara, hace seis años. Algo se había roto en mi motor. Y como no tenía conmigo ni mecánico ni pasajeros, me dispuse a realizar, solo, una reparación difícil. Era, para mí, cuestión de vida o muerte. Tenía agua apenas para ocho días.»",https://covers.openlibrary.org/b/isbn/9788498381498-L.jpg,Open Library,,,,Sin especificar,,2026-05-06 00:30:26
9788425348839,Cincuenta sombras de Grey,Autor desconocido,Grijalbo,2012,Sin categoría,"La romantica, sensual, erotica y totalmente adictiva historia de la apasionada relacion entre una estudiante universitaria y un joven multimillonarioElla es una joven universitaria, inteligente, seria, estudiosa, amante de la literatura.El es un empresario multimillonario, culto, gourmet, exquisito y exigente en todo sobre todo en sus preferencias sexuales.Ella siente un amor profundo y apasionado por el, pero ha decidido que nunca podra convertirse en la pareja que el desea.El lado dominante y sobreprotector de el y los traumas de su infancia pondran a prueba su relacion.Ella hara todo lo posible para liberar a su amante de su oscuro pasado",https://covers.openlibrary.org/b/isbn/9788425348839-L.jpg,Open Library,,,,Sin especificar,,2026-05-06 00:54:35
9788420412146,Don Quijote de la Mancha,Miguel de Cervantes Saavedra,Real Academia Española / Alfaguara,2015,"Social life and customs, Don Quijote (Personaje literario), España, Vida social y costumbres, Caballeros y caballería, Fiction, Knights and knighthood, Ficción","Presents the classic Spanish tale of chivalry and abiding optimism, depicting the exploits of a knight who attempts to bring justice and truth to the world, accompanied by essays, notes, and a study of Cervantes's language.

""Esta edición reproduce el texto crítico y las notas de Francisco Rico, a su vez coordinador del volumen, y se completa con estudios de escritores y filólogos de la talla de Mario Vargas Llosa, Francisco Ayala, Martín de Riquer, José Manuel Blecua, Guillermo Rojo, José Antonio Pascual, Margit Frenk y Claudio Guillén. Como novedad, la presente edición cuenta con un prólogo de Darío Villanueva, director de la Real Academia Española, escrito especialmente para la ocasión.""--Casadellibro.",https://covers.openlibrary.org/b/isbn/9788420412146-L.jpg,Open Library,,,,Sin especificar,,2026-05-06 01:14:11
9788497592208,Cien años de soledad,Gabriel García Márquez,Debolsillo,2003,Sin categoría,Sin descripción,https://covers.openlibrary.org/b/isbn/9788497592208-L.jpg,Open Library,,,,Sin especificar,,2026-05-06 01:17:26
9788499890944,1984 (Contemporanea (Debolsillo)) (Spanish Edition),George Orwell,Debolsillo,2015,Sin categoría,Sin descripción,https://covers.openlibrary.org/b/isbn/9788499890944-L.jpg,Open Library,,,,Sin especificar,,2026-05-06 01:17:41
9788497930055,Crónica de una muerte anunciada,Gabriel García Márquez,Debolsillo,2003,Sin categoría,Sin descripción,https://covers.openlibrary.org/b/isbn/9788497930055-L.jpg,Open Library,,,,Sin especificar,,2026-05-06 01:41:55
9788497593069,Diario / Diary,Anne Frank,SOS Free Stock,"February 28, 2005","Jewish Holocaust, Holocaust, History, Spanish: Adult Nonfiction, Jewish - General, Amsterdam (Netherlands), Diaries, 1929-1945, Ethnic relations, Frank, Anne,",Sin descripción,https://covers.openlibrary.org/b/isbn/9788497593069-L.jpg,Open Library,,,,Sin especificar,,2026-05-06 01:42:08
